"localName","numberOfReviews","website","locationString","image","address"
"‪Al Tayebat International City‬","73",,"جدة, منطقة مكة المكرمة","https://media-cdn.tripadvisor.com/media/photo-o/05/9d/5d/95/al-tayebat-international.jpg","‪3170 Raihanat Al Jazirah‬, جدة 23442 المملكة العربية السعودية"
"‪Al Qarah Mountain‬","193",,"الهفوف, الأحساء, المنطقة الشرقية","https://media-cdn.tripadvisor.com/media/photo-o/0e/05/35/44/view-of-rocks.jpg","الهفوف, الأحساء 36351 المملكة العربية السعودية"
"‪Granada Center‬","244","http://www.granadacenter.com.sa","الرياض, منطقة الرياض","https://media-cdn.tripadvisor.com/media/photo-o/0d/20/d1/74/the-inside.jpg","‪Eastern Ring Branch Rd‬, الرياض المملكة العربية السعودية"
"‪Al Fanateer Beach‬","215",,"الجبيل, المنطقة الشرقية","https://media-cdn.tripadvisor.com/media/photo-o/13/39/19/ee/img-20180525-183855-largejpg.jpg","‪Fanateer‬, الجبيل 35814 المملكة العربية السعودية"
"‪Abraj Al-Bait Towers‬","608","http://www.alharamain.gov.sa","مكة المكرمة, منطقة مكة المكرمة","https://media-cdn.tripadvisor.com/media/photo-o/0e/39/25/a5/menara-abraj-al-bait.jpg","مكة المكرمة المملكة العربية السعودية"
"الراشـد ميغا مـول","110","https://www.facebook.com/Alrashidmallmed","المدينة المنورة, منطقة المدينة المنورة","https://media-cdn.tripadvisor.com/media/photo-m/1280/13/f9/06/87/rashed-mall-18.jpg","‪King Abdullah Branch Rd‬ Second Ring Road, المدينة المنورة 42361 المملكة العربية السعودية"
"‪Silver Sands Beach‬","175",,"جدة, منطقة مكة المكرمة","https://media-cdn.tripadvisor.com/media/photo-o/0c/6c/bf/ad/this-peninsula-is-clouse.jpg","‪Prince Abdullah AlFiasal St‬, جدة 23821 المملكة العربية السعودية"
"‪Bicycle Square‬","286",,"جدة, منطقة مكة المكرمة","https://media-cdn.tripadvisor.com/media/photo-w/06/5f/1d/74/bicycle-square-midan.jpg","جدة المملكة العربية السعودية"
"ساحة البجيري","306","http://bujairi.sa/","الدرعية, منطقة الرياض","https://media-cdn.tripadvisor.com/media/photo-o/2b/47/34/27/behold-the-breathtaking.jpg","‪7295 King faisal Rd.‬, الدرعية 13711 المملكة العربية السعودية"
"Jabal AlFil (Elephant Rock)","129",,"العلا, منطقة المدينة المنورة","https://media-cdn.tripadvisor.com/media/photo-m/1280/1b/73/20/eb/this-spectacular-rock.jpg","العلا 43521 المملكة العربية السعودية"
"وادي حنيفة‎‎","343",,"الرياض, منطقة الرياض","https://media-cdn.tripadvisor.com/media/photo-o/02/e3/22/25/wadi-hanifah.jpg","الرياض المملكة العربية السعودية"
"‪Al-Madina Museum‬","112","http://www.dar-almadinah.com","المدينة المنورة, منطقة المدينة المنورة","https://media-cdn.tripadvisor.com/media/photo-m/1280/13/f4/24/33/al-madina-museum-4.jpg","‪Safwan Ibn Malik Al Tamimi‬ Al Mabuth, المدينة المنورة 42362 المملكة العربية السعودية"
"‪Grave Of Hamzah‬","232",,"المدينة المنورة, منطقة المدينة المنورة","https://media-cdn.tripadvisor.com/media/photo-m/1280/13/f4/0f/db/grave-of-hamzah-6.jpg","‪Sayed As Shuhada‬, المدينة المنورة المملكة العربية السعودية"
"‪Dhee Ayn‬","33","http://sauditourism.sa/en/Explore/Regions/Bahah/Bahah/Pages/bah-2.aspx","الباحة, الباحة","https://media-cdn.tripadvisor.com/media/photo-o/0e/2c/5c/7f/dee-ain.jpg","الباحة المملكة العربية السعودية"
"مدينة اشيقر التاريخية","31",,"أشيقر, منطقة الرياض","https://media-cdn.tripadvisor.com/media/photo-o/12/a0/57/ca/alfilaqia-musqe-in-ushaiqer.jpg","‪Heritage Village‬, أشيقر المملكة العربية السعودية"
"مركز الملك عبدالعزيز للثقافة العالمية","59","http://www.kingabdulazizcenter.com","الظهران, المنطقة الشرقية","https://media-cdn.tripadvisor.com/media/photo-m/1280/14/4d/4d/0f/ithra8.jpg","8386 الطريق الدائري, الظهران المملكة العربية السعودية"
"‪Heet Cave‬","66",,"الرياض, منطقة الرياض","https://media-cdn.tripadvisor.com/media/photo-o/17/ec/b7/64/heet-cave.jpg","‪Heet Cave Road‬, الرياض 14369 المملكة العربية السعودية"
"‪Masjid Al Ghamamah‬","53",,"المدينة المنورة, منطقة المدينة المنورة","https://media-cdn.tripadvisor.com/media/photo-o/0e/20/98/3a/masjid-al-ghamamah.jpg","‪Al Haram‬, المدينة المنورة 42311 المملكة العربية السعودية"
"‪Joatha Mosque‬","23",,"الأحساء, المنطقة الشرقية","https://media-cdn.tripadvisor.com/media/photo-o/0a/1e/41/ca/inside-the-mosque.jpg","الأحساء المملكة العربية السعودية"
"‪Khadija Baghlaf Mosque‬","30",,"جدة, منطقة مكة المكرمة","https://media-cdn.tripadvisor.com/media/photo-o/08/3c/8a/f8/getlstd-property-photo.jpg","جدة المملكة العربية السعودية"
"‪Globe Roundabout‬","226",,"جدة, منطقة مكة المكرمة","https://media-cdn.tripadvisor.com/media/photo-o/16/47/31/11/img-2387669847669-largejpg.jpg","جدة المملكة العربية السعودية"
"‪World Sights Park‬","46",,"الرياض, منطقة الرياض","https://media-cdn.tripadvisor.com/media/photo-o/0e/98/41/63/faisaliyah-tower-ksa.jpg","‪Eastern Ring Road‬, الرياض 12482 المملكة العربية السعودية"
"‪Masjid Jummah‬","29",,"المدينة المنورة, منطقة المدينة المنورة","https://media-cdn.tripadvisor.com/media/photo-m/1280/13/f9/0e/27/masjid-jummah-3.jpg","المدينة المنورة المملكة العربية السعودية"
"‪Qaisariah Souq‬","94",,"الهفوف, الأحساء, المنطقة الشرقية","https://media-cdn.tripadvisor.com/media/photo-o/17/25/d6/a7/photo2jpg.jpg","‪King Abdul Aziz Road‬, الهفوف, الأحساء 36361 المملكة العربية السعودية"
"‪Mosque of Badr‬","43",,"المدينة المنورة, منطقة المدينة المنورة","https://media-cdn.tripadvisor.com/media/photo-s/04/d1/f5/d7/masjid-al-areesh.jpg","المدينة المنورة المملكة العربية السعودية"
